800,2023-03-29 09:30:39.167000,"Skruže, 20x KARI síť, míchačka, 2 lopaty (sklad Nové Dančice)",50.073658,Zlonín,14.41854,Dovézt materiál do Zlonína,NEW,2023-03-29 09:28:00.000000,2023-05-29 09:28:00.000000,74,52
823,2023-03-29 09:30:39.167000,Oprava a údržba silnic v okolí města Brna,50.073658,Brněnský přijezd K5,14.41854,Oprava silnic v obvodu K5,IN_PROGRESS,2023-03-29 09:28:00.000000,2023-05-29 09:28:00.000000,77,52
802,2023-03-29 09:30:39.167000,Nákup a doprava stavebních materiálů pro stavbu rodinného domu v Kralupech nad Vltavou,50.073658,Kralupy nad Vltavou,14.41854,Nákup a doprava stavebních materiálů,IN_PROGRESS,2023-03-29 09:28:00.000000,2023-05-29 09:28:00.000000,77,52
827,2023-03-29 09:30:39.167000,Výstavba nového rodinného domu v Ostravě,50.073658,"Ostava, Poruba 23",14.41854,Položení základů,NEW,2023-03-29 09:28:00.000000,2023-05-29 09:28:00.000000,75,52
809,2023-03-29 09:30:39.167000,Zajištění stavebního dozoru při výstavbě obchodního centra v Hradci Králové,50.073658,"Hradec Králové, Centrum",14.41854,Stavební dozor,IN_PROGRESS,2023-03-29 09:28:00.000000,2023-05-29 09:28:00.000000,70,52
808,2023-03-29 09:30:39.167000,Výstavba cyklostezky mezi městy Tábor a Písek,50.073658,"Tábor, Písčitá u soutoku",14.41854,Výkopové práce pro cyklostezku,DONE,2023-03-29 09:28:00.000000,2023-05-29 09:28:00.000000,71,52
806,2023-03-29 09:30:39.167000,Výstavba nového mostu přes řeku Labe u města Děčín,50.073658,Děčín,14.41854,Výstavba nového mostu,IN_PROGRESS,2023-03-29 09:28:00.000000,2023-05-29 09:28:00.000000,73,52
826,2023-03-29 09:30:39.167000,Rekonstrukce chátrajícího historického objektu v centru Plzně,50.073658,Plzeň,14.41854,Rekonstrukce,NEW,2023-03-29 09:28:00.000000,2023-05-29 09:28:00.000000,76,52
813,2023-03-29 09:30:39.167000,Rekonstrukce historického objektu v centru Brna na kulturní centrum,50.073658,"Brno, Centrum",14.41854,Rekonstrukce sochy sv. Kamila,IN_PROGRESS,2023-03-29 09:28:00.000000,2023-05-29 09:28:00.000000,67,52
812,2023-03-29 09:30:39.167000,Montáž solárních panelů na střechu administrativní budovy v Praze,50.073658,"Praha, Hrnčířská, 73",14.41854,Montáž solárních panelů,IN_PROGRESS,2023-03-29 09:28:00.000000,2023-05-29 09:28:00.000000,67,52
